,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,average_salary,total_sale,turn_over_rate
1570,에스엔유프리시젼,1.0,1.0444345605837797e-307,6.035776582939486e-308,2.1392469109264634e-308,1.8505687113482437e-308,8.334997166870249e-308,0.870873165652874,0.04166296954709024,0.014600953711757444,0.006380693546804586,0.00649042196567637,5345.0,1137.0,0.21
1571,와이엠티,0.2457221185945242,0.15803336006577343,0.0595116815238796,0.017684039684633352,0.011073995423468404,0.005790842568204497,0.6981703791008456,0.022424333421850025,0.007695983840889384,0.0033693711444695395,0.003404562909217662,3661.0,4.9,0.2
1572,인텔리안테크놀로지스,0.1689528430938142,0.13885756211817127,0.06458155311416118,0.11832388265206716,0.024167869435131627,0.004723891710195466,0.518342281988426,0.19888687840216598,0.03949724664273367,0.01375293449183406,0.013707949398862622,5811.0,1231.1,0.2
1573,케이엠,0.8776140693805895,0.027179037489228407,0.0168718180058664,0.0056829864126402806,0.0049135252422886945,0.016812896862335325,0.9097866346872354,0.038013316473103645,0.013780781179160168,0.006236401759529088,0.006315108512463943,2313.0,37.6,1.22
1574,엘이디라이텍,0.9530365008854362,0.01737521589014838,0.00986417613825241,0.0038682168563659745,0.003514234866730829,0.012341655363066029,0.7830976928661922,0.03236961203160978,0.011555750829940719,0.005195705874059831,0.005253679844982213,4328.0,903.4,0.86
1575,고운세상코스메틱,0.8021072011972321,0.019330601276567914,0.01125574083178657,0.004158233904949561,0.0036914638846927503,0.020797513811156753,0.815611643162999,0.12660356065244066,0.03319431692144813,0.01222271553001657,0.012367763733095796,5286.0,1731.3,0.29
1576,베네통코리아,0.6209098815476457,0.0634982344926116,0.046769343411230346,0.010968329771432715,0.00826684901849813,0.012098400662035956,0.9347466256564776,0.03861576137129581,0.013688334381600685,0.00605851585442465,0.006152208964991862,4909.0,1360.7,0.33
1577,브이티코스메틱,0.7957121108281723,0.027386685650856023,0.015402431426485003,0.006132219957653846,0.00559976072578251,0.017641367793988304,0.9336509786714369,0.039401627890349365,0.014185421550282028,0.006328346188485629,0.006433625699446072,1930.0,6913.0,1.48
1578,이펙스,1.0,6.923271542080873e-308,3.8729961747916934e-308,1.5297493863938435e-308,1.3877304601747333e-308,5.269857285303285e-308,0.7991747048420376,0.02462423210140785,0.008558524666084227,0.003760314114050362,0.003809217492430618,4549.0,1120.2,0.53
1579,한국인삼공사,0.650713353522007,0.025709114958738732,0.014579037341802232,0.00568998629265582,0.005156200696894491,0.018993735519687045,0.8839106042008296,0.031843723066820595,0.01010170343114582,0.0042797146852206775,0.004299068637427747,6082.0,1300.0,0.19
1580,영원아웃도어,0.7409641501932819,0.038035139919229494,0.022549698988369234,0.007583585806871528,0.00644690494207949,0.021064780522608885,0.47518513888485386,0.03490793312003411,0.010865057861759918,0.004499760121222416,0.004538989777160385,6032.0,5444.8,0.12
