,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,dadv topic8,average_salary,total_sale,turn_over_rate
2114,이연제약,0.29645350270949244,0.3227280997340187,0.012714481581212633,0.021475497203213616,0.035607460993774695,0.03828574692390225,0.21177696677463162,0.30225622170980493,0.026188373856297107,0.01010702463290384,0.0036915311918060585,0.0033515198143510613,0.003346966388012551,0.004152884572651155,0.00393571093341385,7241.0,1428.0,0.13
2115,서흥,1.0289587097434257e-306,4.3476589257588385e-307,4.048604600156205e-308,6.261077212357228e-308,1.7319587449060058e-307,1.0,0.1310303109150952,0.13296704019655783,0.14222829905459283,0.49553469171811465,0.016381763783729228,0.012771511115801522,0.012813979208724013,0.023079209231066315,0.017328100877318044,3011.0,21.4,0.18
2116,에이프로젠바이오로직스,0.5693133013262006,0.05204549637161529,0.00606516295464626,0.008211515771840561,0.011356620664096055,0.013283856270327963,0.06181774861319442,0.03687111131909522,0.05300159962766061,0.030834064376402143,0.0911444723639045,0.08457777815246256,0.17333135707773875,0.02136236135963195,0.015796060631986554,4137.0,201.1,0.26
2117,유영제약,0.8011675026418276,0.03129867890678786,0.005536667577917432,0.0065006229462923545,0.00874300933208095,0.010048058627952492,0.7987235508866349,0.09951452971589199,0.03612269285092351,0.014547221541793148,0.0057129226837804225,0.005245547057876127,0.005294319170578806,0.00623537761817049,0.0058629431609538455,5132.0,1142.0,0.33
2118,대한적십자사,0.2099294761318633,0.3916914669621902,0.01614229646217581,0.03781670258570241,0.03842980690754318,0.03204046449286277,0.7779772559638795,0.0629109485392404,0.02443985718226548,0.009593664107372068,0.003882925907243714,0.00360964481191903,0.0036208148705929363,0.004211870823135111,0.004038840616095984,5867.0,6323.4,0.46
2119,프레스티지바이오로직스,5.587558217849204e-307,4.239314260527477e-307,1.3511132694676652e-307,1.0,9.269140070029978e-308,5.641853512455162e-308,1.0,3.9715264231779455e-307,1.593818225449645e-307,6.577441477638234e-308,2.665154404183922e-308,2.475031613494069e-308,2.497794564448445e-308,2.861720245777095e-308,2.685879460017206e-308,2133.0,32.3,0.32
2120,동아제약,0.7041308850979879,0.11682340489282306,0.011493210369713593,0.016574133503658325,0.029505526548668552,0.042881698690698807,1.0,1.797981240548807e-307,9.340216216260956e-308,3.778749667138834e-308,1.6533306896644615e-308,1.5725118741884227e-308,1.5829666768974505e-308,1.733605901646665e-308,1.6668525184963135e-308,6032.0,4373.7,0.14
2121,건일제약,1.0,7.115597786091187e-308,1.3370616506835255e-308,1.5500680988679223e-308,1.901408522858762e-308,2.0799276572652057e-308,1.0,2.8008196727914833e-307,1.3339429213689635e-307,5.435240451663631e-308,2.3153267741613177e-308,2.1850384243879014e-308,2.1997062391415664e-308,2.4477847608163426e-308,2.333518133249653e-308,5104.0,1040.4,0.36
2122,동성제약,0.7223968843245279,0.01898522692075063,0.0034706558151652257,0.004097519873260556,0.005024233953308169,0.0055476012923125475,0.5850766331388352,0.13579619617563912,0.04232793516939253,0.01716437137399674,0.0065328078054502515,0.005952737892705779,0.006005423202351908,0.007198816536897126,0.006714507929809401,4470.0,844.1,0.32
2123,진양제약,0.26694063622602765,0.25350945825187965,0.04280965311078598,0.31479025849279324,0.05316639487965171,0.02963845889674853,0.42334060475396496,0.12223647006608168,0.03651257335122078,0.01365799339940977,0.005218126809261618,0.004782721621513615,0.004773122892463274,0.00582126748120633,0.005616808251382505,4626.0,628.4,0.27
2124,부광약품,0.7631290913733598,0.11338506676447216,0.010817388105051548,0.01583869767244749,0.03062286966855486,0.05459027957081347,0.7668591156829145,0.05327314010108863,0.0259751653730065,0.010685648953891139,0.0045695174185510345,0.0043139797522472635,0.004353467248485944,0.004813203812179142,0.004571658434933845,6085.0,1816.3,0.18
2125,충남대학교병원,1.0,1.937402994713026e-307,2.3744124432206757e-308,3.1700804092869116e-308,4.4269706181617347e-308,5.22951034855124e-308,0.5392448650824998,0.059984259313226686,0.022142776692109324,0.008701697638276596,0.0034906818790657827,0.003238215840512866,0.0032473651189257385,0.003796826805042802,0.003633270933967424,7047.0,5729.8,0.81
2126,명인제약,0.7591027920119451,0.035881108226078956,0.006037873016040787,0.0073916006981877,0.01029676624329165,0.011961224157435939,0.8611873644934994,0.06278722454439141,0.03302974663753962,0.01354398923369117,0.005943671188727661,0.005660004034654409,0.005708483558062088,0.006205001930222763,0.005934514379211376,5972.0,2094.5,0.1
